Date,High,Low,Close,Open
2019-01-01,10923.6,10807.1,10910.1,10881.7
2019-01-02,10895.35,10735.05,10792.5,10868.85
2019-01-03,10814.05,10661.25,10672.25,10796.8
2019-01-04,10741.05,10628.65,10727.35,10699.7
2019-01-05,10835.95,10750.15,10771.8,10804.85
2019-01-06,10818.45,10733.25,10802.15,10786.25
2019-01-07,10870.4,10749.4,10855.15,10862.4
2019-01-08,10859.35,10801.8,10821.6,10859.35
2019-01-09,10850.15,10739.4,10794.95,10834.75
2019-01-10,10808,10692.35,10737.6,10807
2019-01-11,10896.95,10777.55,10886.8,10777.55
2019-01-12,10928.15,10876.9,10890.3,10899.65
2019-01-13,10930.65,10844.65,10905.2,10920.85
2019-01-14,10928.2,10852.2,10906.95,10914.85
2019-01-15,10987.45,10885.75,10961.85,10919.35
2019-01-16,10949.8,10864.15,10922.75,10949.8
2019-01-17,10944.8,10811.95,10831.5,10931.05
2019-01-18,10866.6,10798.65,10849.8,10844.05
2019-01-19,10931.7,10756.45,10780.55,10859.75
2019-01-20,10804.45,10630.95,10661.55,10792.45
2019-01-21,10690.35,10583.65,10652.2,10653.7
2019-01-22,10710.2,10612.85,10651.8,10702.25
2019-01-23,10838.05,10678.55,10830.95,10690.55
2019-01-24,10983.45,10813.45,10893.65,10851.35
2019-01-25,10927.9,10814.15,10912.25,10876.75
2019-01-26,10956.7,10886.7,10934.35,10908.65
2019-01-27,11072.6,10962.7,11062.45,10965.1
2019-01-28,11118.1,11043.6,11069.4,11070.45
2019-01-29,11041.2,10925.45,10943.6,11023.5
2019-01-30,10930.9,10857.1,10888.8,10930.9
2019-01-31,10910.9,10823.8,10831.4,10879.7
2019-02-01,10891.65,10772.1,10793.65,10870.55
2019-02-02,10792.7,10718.75,10746.05,10786.1
2019-02-03,10785.75,10620.4,10724.4,10780.25
2019-02-04,10759.9,10628.4,10640.95,10738.65
2019-02-05,10722.85,10585.65,10604.35,10636.7
2019-02-06,10752.7,10646.4,10735.45,10655.45
2019-02-07,10808.85,10721.5,10789.85,10744.1
2019-02-08,10801.55,10758.4,10791.65,10782.7
2019-02-09,10887.1,10788.05,10880.1,10813.25
2019-02-10,10888.75,10729.3,10835.3,10775.3
2019-02-11,10939.7,10751.2,10806.65,10881.2
2019-02-12,10865.7,10784.85,10792.5,10865.7
2019-02-13,10877.9,10823.1,10863.5,10842.65
2019-02-14,10994.9,10817,10987.45,10864.85
2019-02-15,11062.3,10998.85,11053,11024.85
2019-02-16,11089.05,11027.1,11058.2,11077.95
2019-02-17,11049,11008.95,11035.4,11038.85
2019-02-18,11180.9,11059.85,11168.05,11068.75
2019-02-19,11320.4,11227,11301.2,11231.35
2019-02-20,11352.3,11276.6,11341.7,11326.2
2019-02-21,11383.45,11313.75,11343.25,11382.5
2019-02-22,11487,11370.8,11426.85,11376.85
2019-02-23,11530.15,11412.5,11462.2,11473.85
2019-02-24,11543.85,11451.25,11532.4,11500.3
2019-02-25,11556.1,11503.1,11521.05,11553.35
2019-02-26,11572.8,11434.55,11456.9,11549.2
2019-02-27,11395.65,11311.6,11354.25,11395.65
2019-02-28,11496.75,11352.45,11483.25,11375.2
2019-03-01,11546.2,11413,11445.05,11531.45
2019-03-02,11588.5,11452.45,11570,11463.65
2019-03-03,11630.35,11570.15,11623.9,11625.45
2019-03-04,11738.1,11644.75,11669.15,11665.2
2019-03-05,11729.35,11655.85,11713.2,11711.55
2019-03-06,11761,11629.15,11643.95,11735.3
2019-03-07,11662.55,11559.2,11598,11660.2
2019-03-08,11689.65,11609.5,11665.95,11638.4
2019-03-09,11710.3,11549.1,11604.5,11704.35
2019-03-10,11683.9,11569.7,11671.95,11612.05
2019-03-11,11680.05,11571.75,11584.3,11646.85
2019-03-12,11606.7,11550.55,11596.7,11592.55
2019-03-13,11657.35,11578.8,11643.45,11612.85
2019-03-14,11704.6,11648.25,11690.35,11667
2019-03-15,11810.95,11731.55,11787.15,11736.2
2019-03-16,11856.15,11738.5,11752.8,11856.15
2019-03-17,11727.05,11583.95,11594.45,11727.05
2019-03-18,11645.95,11564.8,11575.95,11612.95
2019-03-19,11740.85,11578.85,11726.15,11601.5
2019-03-20,11796.75,11624.3,11641.8,11735.7
2019-03-21,11762.9,11661.75,11754.65,11683.75
2019-03-22,11756.25,11655.9,11748.15,11748.75
2019-03-23,11789.3,11699.55,11724.75,11725.55
2019-03-24,11770.9,11699.35,11712.25,11722.6
2019-03-25,11632.55,11571.35,11598.25,11605.8
2019-03-26,11657.05,11484.45,11497.9,11651.5
2019-03-27,11479.1,11346.95,11359.45,11478.7
2019-03-28,11357.6,11255.05,11301.8,11322.4
2019-03-29,11345.8,11251.05,11278.9,11314.15
2019-03-30,11300.2,11125.6,11148.2,11258.7
2019-03-31,11294.75,11108.3,11222.05,11151.65
2019-04-01,11286.8,11136.95,11157,11271.7
2019-04-02,11281.55,11143.35,11257.1,11180.35
2019-04-03,11426.15,11259.85,11407.15,11261.9
2019-04-04,11845.2,11591.7,11828.25,11651.9
2019-04-05,11883.55,11682.8,11709.1,11863.65
2019-04-06,11784.8,11682.4,11737.9,11727.95
2019-04-07,12041.15,11614.5,11657.05,11901.3
2019-04-08,11859,11658.1,11844.1,11748
2019-04-09,11957.15,11812.4,11924.75,11855.5
2019-04-10,11958.55,11864.9,11928.75,11958.35
2019-04-11,11931.9,11836.8,11861.1,11905.8
2019-04-12,11968.55,11859.4,11945.9,11865.3
2019-04-13,12039.25,11829.45,11922.8,11999.8
2019-04-14,12103.05,11920.1,12088.55,11953.75
2019-04-15,12095.2,12005.85,12021.65,12052.65
2019-04-16,12039.8,11830.25,11843.75,12039.8
2019-04-17,11897.5,11769.5,11870.65,11865.2
2019-04-18,11975.05,11871.75,11922.7,11934.9
2019-04-19,12000.35,11904.35,11965.6,11959.85
2019-04-20,11962.45,11866.35,11906.2,11962.45
2019-04-21,11931.35,11817.05,11914.05,11873.9
2019-04-22,11911.85,11797.7,11823.3,11910.1
2019-04-23,11844.05,11657.75,11672.15,11844
2019-04-24,11727.2,11641.15,11691.5,11677.05
2019-04-25,11802.5,11625.1,11691.45,11744.45
2019-04-26,11843.5,11635.05,11831.75,11653.65
2019-04-27,11827.95,11705.1,11724.1,11827.6
2019-04-28,11754,11670.2,11699.65,11725.8
2019-04-29,11814.4,11651,11796.45,11681
2019-04-30,11871.85,11757.55,11847.55,11768.15
2019-05-01,11911.15,11821.05,11841.55,11860.85
2019-05-02,11871.7,11775.5,11788.85,11861.15
2019-05-03,11884.65,11830.8,11865.6,11839.9
2019-05-04,11917.45,11814.7,11910.3,11890.3
2019-05-05,11945.2,11887.05,11916.75,11932.15
2019-05-06,11969.25,11923.65,11946.75,11928.8
2019-05-07,11981.75,11797.9,11811.15,11964.75
2019-05-08,11771.9,11523.3,11558.6,11770.4
2019-05-09,11582.55,11461,11555.9,11531.6
2019-05-10,11593.7,11475.65,11498.9,11536.15
2019-05-11,11599,11519.5,11582.9,11561.45
2019-05-12,11639.55,11538.6,11552.5,11601.15
2019-05-13,11618.4,11532.3,11588.35,11614.75
2019-05-14,11670.05,11573.95,11662.6,11596.65
2019-05-15,11706.65,11651.15,11687.5,11670.75
2019-05-16,11677.15,11582.4,11596.9,11675.6
2019-05-17,11640.35,11399.3,11419.25,11627.95
